"cvid";"viewname";"columnname";"comparator";"value"
"2453";"15. OMI ALTRO";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"---,RA / ALTRO,RE / ALTRO,AG / AGENTE,GD / GDO,ORG / ORGANIZZAZIONE,ZZZ-RE / ***ALTRO"
"2465";"35. IRL ALTRO";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"---,RA / ALTRO,RE / ALTRO,AG / AGENTE,GD / GDO,ORG / ORGANIZZAZIONE,ZZZ-RE / ***ALTRO"
"2459";"25. MOORE ALTRO";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"---,RE / ALTRO,AG / AGENTE,GD / GDO,ORG / ORGANIZZAZIONE,ZZZ-RE / ***ALTRO"
"2835";"test controllo";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"AG / AGENTE"
"1932";"TARGET AGENTI CARP ITALIA";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"AGENTE"
"772";"Solo RE / ALTRO";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"ALTRO"
"777";"Solo clienti PER MAILING";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"dELHI"
"1574";"001 - solo DIST rivendita legname";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"DIST"
"769";"Solo RD / DIST";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"DIST"
"2047";"ASSOCIAZIONI NAZIONALI";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RA / ASS"
"1859";"Associazioni";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RA / ASS"
"3314";"AAA- TEST";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"ra / ass"
"1904";"Companies in Istanbul";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RC / CARP,RD / DIST,RE / ALTRO,RP / PROG"
"3209";"RC CARP/DIST/ PROG CH";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RC / CARP,RD / DIST,RP / PROG,RE / ALTRO"
"2032";"Classificazione Clienti TOT ALB 7-14-";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RC / CARP,RD / DIST,RP / PROG,RS / SAFE"
"3298";"NUOVO CAT. ATTREZZATURA IT - CARP + SAFE + DIST";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RC / CARP,RD / DIST,RS / SAFE"
"3320";"14 CATALOGO ATTREZZATURA ES";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RC / CARP,RD / DIST,RS / SAFE,RE / ALTRO"
"3334";"14 CAT ATTR FR";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RC / CARP,RD / DIST,RS / SAFE,RE / ALTRO"
"2742";"Punteggio Stelline";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RC / CARP,RP / PROG"
"2970";"Clienti finali Russia 2014";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"n";"RD / DIST,RS / SAFE,GD / GDO"
"1895";"TARGET IST_CARP_IT";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"k";"RD,GDO,AGENTE"
"1909";"TARGET NL_REGION#1_ITALIA";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"k";"RD,GDO,SAFE,AGENTE"
"2209";"duplicati francesco";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RE / ALTRO"
"2430";"UNIVERSITÃ„TEN";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RE / ALTRO"
"3110";"re / altro it";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RE / ALTRO"
"1988";"TUTTI esclusi CLIENTI ATTIVI E CARP";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RE / ALTRO"
"3205";"aa RP / PROG TN e BZ";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RP / PROG,RE / ALTRO"
"2463";"34. IRL SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"2549";"VISTA OTTIMIZZATA PER PULIZIA SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"3111";"SAFE AT";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"3302";"SAFE ITALIA";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"3305";"SAFE IT";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"2452";"14. OMI SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"770";"Solo RS / SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"482";"Lista per invio corso safe";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"SAFE"
"484";"Lista invio corsi SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"554";"Lista clienti safe  Emilia per  Palmisio";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"555";"Lista clienti safe  Marche/Abruzzo per  Palmisio";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"568";"Lista invio corsi SAFE nord-est";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"3154";"MEDELLIN - safe";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"3155";"BOGOTA - SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
